Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
DRR 63000-1,Dr. Dre,The Chronic,Death Row Records (2),"2xLP, Album, RE, RM",,2001,605246,Hip-Hop,2019-01-04 22:17:44,Near Mint (NM or M-),Near Mint (NM or M-),
HMJY-158,Jiro Inagaki & Soul Media,In The Groove,"Deep Jazz Reality, Columbia","LP, Album, RE",,2022,24000953,Japanese,2022-10-03 22:40:40,Mint (M),Mint (M),
314 548 289-1,Musiq Soulchild,Aijuswanaseing,Def Soul,"2xLP, Album",,2000,1033701,2000s R&B,2018-08-08 03:56:39,Near Mint (NM or M-),Near Mint (NM or M-),
DV 14221-1,The Pharcyde,Bizarre Ride II The Pharcyde,Delicious Vinyl,"2xLP, Album, RE",,2008,1319500,Hip-Hop,2019-01-04 20:35:56,Near Mint (NM or M-),Very Good Plus (VG+),
DEL75040LP,Deltron 3030,The Instrumentals,Deltron Partners,"2xLP, Album, RE",,2017,11299426,Instrumental/Beats,2021-05-14 22:18:03,Mint (M),Mint (M),
B0025472-01,The Roots,Illadelph Halflife,DGC,"2xLP, Album, RE, Gat",,2016,9331001,Hip-Hop,2019-01-04 20:49:36,Near Mint (NM or M-),Near Mint (NM or M-),
DGC12-22227,The Roots,What They Do,DGC,"12""",,1996,767121,"12"" Hip-Hop",2019-01-03 00:23:59,Very Good Plus (VG+),Good Plus (G+),
B0025153-01,Weezer,Pinkerton,"DGC, UMe","LP, Album, RE, RM",,2016,9258585,90's Rock/Alternative,2018-10-29 01:00:12,Mint (M),Mint (M),
45-4051,Joe Tex,Papa Was Too / The Truest Woman In The World,Dial (2),"7"", PL",,1966,2097923,45 Funk/Soul,2023-07-08 19:01:24,Very Good (VG),Generic,
DAV033,City And Colour,Sometimes,Dine Alone Records,"2xLP, Album, RE",,2012,2912731,2000s Emo,2018-08-15 02:15:55,Mint (M),Mint (M),
DAV060,Alexisonfire,Alexisonfire,Dine Alone Records,"2xLP, Album, RP",,2021,20439871,2000s Emo,2021-12-18 22:06:13,Mint (M),Mint (M),
DAV110,City And Colour,Bring Me Your Love,Dine Alone Records,"LP, Album, Ltd, RE, Oxb",,2016,9550225,Indie/Alternative,2018-08-15 01:47:58,Near Mint (NM or M-),Near Mint (NM or M-),
dis70V,Fugazi,In On The Kill Taker,Dischord Records,"LP, Album, RE, RM, RP",,2016,9840123,Punk/HxC,2022-12-10 21:42:03,Mint (M),Mint (M),
Dischord 16,Rites Of Spring,Rites Of Spring,Dischord Records,"LP, Album, RE, RM, RP",,2023,26220938,Punk/HxC,2023-04-26 21:12:44,Mint (M),Mint (M),
"DISCHORD 10, DIS10V",Minor Threat,Out Of Step,"Dischord Records, Dischord Records","12"", EP, RE, RM, Rec",,2008,1627979,Punk/HxC,2018-10-29 00:55:41,Mint (M),Mint (M),
DSK-4002,Setsuo Ohashi = Setsuo Ohashi,Lonesome Beach Boy,Discomate,"LP, Album",,1982,10936313,Japanese,2023-07-12 19:27:19,Very Good Plus (VG+),Very Good (VG),
DISCOMAT007,Isabelle Antena,Laying On The Sofa,Discomatin,"12"", Maxi, RE, RM",,2020,14783278,"12"" New Wave",2023-06-20 20:26:00,Mint (M),Mint (M),
"FDM 70002, FDM 70.002",Nuggets,New York With Proud Mary,"Disques Dreyfus, Disques Dreyfus","7"", Single",,1979,2154265,45 Funk/Soul,2020-11-17 06:49:42,Near Mint (NM or M-),Very Good Plus (VG+),
49.271,D.D. Sound,Disco Bass,Disques Flèche,"7""",,1977,547660,45 Funk/Soul,2020-11-17 06:52:44,Near Mint (NM or M-),Very Good Plus (VG+),
DJUS 1034,Johnny Guitar Watson,It's A Damn Shame,DJM Records (2),"7"", Promo",,1977,6620887,45 Funk/Soul,2023-05-24 23:50:28,Very Good Plus (VG+),Generic,
DODLP_002,Linafornia,Yung,Dome Of Doom Records,"LP, Album, Ltd, Gre",,2018,11406682,Instrumental/Beats,2018-12-22 00:35:26,Mint (M),Near Mint (NM or M-),
RUG 997,Sasami,Not The Time / Callous,Domino,"7"", Single, Ltd, Num, Red",,2018,12748398,45 Rock/Alternative,2018-12-21 19:38:45,Mint (M),Mint (M),
WIGLP322,Blood Orange (2),Cupid Deluxe,Domino,"2xLP, Album",,2013,5107143,Modern R&B,2018-08-08 21:58:40,Near Mint (NM or M-),Near Mint (NM or M-),
WIGLP350,Alex G (2),Beach Music,Domino,"LP, Album",,2015,7571438,Indie/Alternative,2018-08-13 23:44:55,Near Mint (NM or M-),Near Mint (NM or M-),
WIGLP369,Blood Orange (2),Freetown Sound,Domino,"2xLP, Album",,2016,8922743,Modern R&B,2018-08-08 22:16:09,Near Mint (NM or M-),Near Mint (NM or M-),
WIGLP421,Blood Orange (2),Negro Swan,Domino,"2xLP, Album, RE, Hea",,2020,15471615,Modern R&B,2021-08-26 19:22:45,Mint (M),Mint (M),
"DNO 219, DNO219",Animal Collective,Merriweather Post Pavilion,"Domino, Domino","2xLP, Album, Dlx, 180",,2009,1592118,Indie/Alternative,2021-05-14 22:24:50,Mint (M),Mint (M),
REWIGLP159X,My Bloody Valentine,Loveless,"Domino, MBV Records","LP, Album, Dlx, RE, RP, Gat",,2021,18793696,90's Rock/Alternative,2021-11-02 17:24:30,Mint (M),Mint (M),
REWIGLP160X,My Bloody Valentine,m b v,"Domino, MBV Records","LP, Album, Dlx, RE, Gat",,2021,18769009,90's Rock/Alternative,2021-06-05 21:34:39,Mint (M),Mint (M),
DDW042,Cende,#1 Hit Single,Double Double Whammy,"LP, Aqu",,2017,10338165,Contemporary Emo,2018-08-15 01:28:40,Near Mint (NM or M-),Near Mint (NM or M-),
DDW046,Hovvdy,Cranberry,Double Double Whammy,"LP, Album",,2018,11583158,Indie/Alternative,2018-08-13 23:30:20,Near Mint (NM or M-),Near Mint (NM or M-),
DC149,Silver Jews,American Water,Drag City,"LP, Album, RE, RM, Hal",,2018,12620110,2000s Rock/Alternative,2021-08-07 19:01:20,Mint (M),Mint (M),
DC387,Death (8),...For The Whole World To See,Drag City,"LP, Album",,2009,1739129,Punk/HxC,2019-11-30 23:00:10,Mint (M),Mint (M),
DC479,Ty Segall,Goodbye Bread,Drag City,"LP, Album",,2011,2937580,Psych/Garage Rock,2018-10-11 00:56:56,Near Mint (NM or M-),Near Mint (NM or M-),
"DC447, DC-447",Death (8),Spiritual | Mental | Physical,"Drag City, Drag City","LP, Album",,2011,2714645,70's Rock,2022-04-07 15:09:08,Mint (M),Mint (M),
DUN-1000,Menahan Street Band,Make The Road By Walking,Dunham,"LP, Album, RP",,0,11402764,Funk/Soul,2021-02-08 16:50:09,Mint (M),Mint (M),
DYNAM 7097,FBI (4),Keep On Running,Dynamite Cuts,"7""",,2022,25427641,45 Funk/Soul,2023-06-03 22:56:23,Mint (M),Mint (M),
DYNAM 7097,FBI (4),Keep On Running,Dynamite Cuts,"7""",,2022,25427641,45 Funk/Soul,2023-06-03 22:56:43,Mint (M),Mint (M),
ESR-1001,Various,East Side Story Vol. 1,East Side Records (4),"LP, Comp, Ltd, RM, 180",,2018,11822669,Funk/Soul,2019-09-22 01:36:11,Mint (M),Mint (M),
ESR-1002,Various,East Side Story Vol. 2,East Side Records (4),"LP, Comp",,2018,12033187,60's R&B,2023-04-01 23:18:44,Mint (M),Mint (M),
ECM 1-1120,Bill Connors,Of Mist And Melting,ECM Records,"LP, Album",,1978,517350,Jazz,2018-08-08 02:38:36,Very Good Plus (VG+),Very Good (VG),
"ECM 1134, 2301 134",Tom Van Der Geld,Path,"ECM Records, ECM Records","LP, Album, Promo",,1979,8341407,Jazz,2018-08-08 03:34:06,Good Plus (G+),Good Plus (G+),
"ECM 2-1090, 2625 033",Keith Jarrett,Staircase,"ECM Records, ECM Records","2xLP, Album",,1977,1299608,Jazz,2018-08-08 01:26:07,Very Good (VG),Good Plus (G+),
"ES010, BEWITH061LP",Steve Hiett,Down On The Road By The Beach,"Efficient Space, Be With Records","LP, Album, RE, Gat",,2019,13977082,Jazz,2019-10-24 05:37:53,Mint (M),Mint (M),
0-66141,Towa Tei,Technova,Elektra,"12"", Maxi",,1995,39808,"12"" Instrumental/Beats",2019-01-03 00:21:02,Very Good Plus (VG+),Very Good Plus (VG+),
6E-120,Ubiquity (4),Starbooty,Elektra,"LP, Album, PRC",,1978,7314081,Jazz,2018-08-08 02:37:02,Very Good Plus (VG+),Very Good (VG),
7-64654,Silk (4),Freak Me,Elektra,"7""",,1993,2218943,45 R&B,2023-06-17 23:16:56,Near Mint (NM or M-),Generic,
E-47235,Queen & David Bowie,Under Pressure,Elektra,"7"", Single, SP",,1981,1508081,45 70's/80's Rock,2018-12-21 19:34:18,Very Good Plus (VG+),Good Plus (G+),
E-47427,Patrice Rushen,Forget Me Nots,Elektra,"7"", Single, SP ",,1982,500100,45 80's R&B,2023-06-23 21:47:45,Very Good (VG),Generic,
EK-45615,The Doors,Light My Fire,Elektra,"7"", Single, Spe",,1967,2143534,45 60's Rock,2023-06-23 21:47:45,Very Good (VG),Generic,
"7559-60948-1, EKT 105",Pete Rock & C.L. Smooth,Mecca And The Soul Brother,"Elektra, Elektra","2xLP, Album",,1992,7815366,Hip-Hop,2019-01-04 22:08:45,Mint (M),Mint (M),
R1 1098,Television,Marquee Moon,"Elektra, Rhino Vinyl","LP, Album, RE, RM, RTI",,2012,4111082,New Wave,2018-10-11 01:06:51,Near Mint (NM or M-),Near Mint (NM or M-),
bark5lp,Death Cab For Cutie,Something About Airplanes,"Elsinor Records, Barsuk Records","LP, Album, RE, RM, 180",,2014,6409096,Indie/Alternative,2019-09-03 00:54:24,Mint (M),Mint (M),
14-03006,The Clash,Should I Stay Or Should I Go / Inoculated City,Epic,"7"", Single, Styrene, Pit",,1982,1713978,45 70's/80's Rock,2023-02-21 22:05:18,Near Mint (NM or M-),Very Good (VG),
235036,George Duke,Brazilian Love Affair,Epic,"LP, Album, Gat",,1980,5256863,Jazz,2023-01-25 22:50:16,Near Mint (NM or M-),Very Good Plus (VG+),
34-03245,The Clash,Rock The Casbah,Epic,"7"", Promo",,1982,4022552,45 Punk/Emo,2023-06-03 22:11:09,Near Mint (NM or M-),Good (G),
34-03245,The Clash,Rock The Casbah,Epic,"7"", Single, Styrene, Ter",,1982,9747988,45 Punk/Emo,2023-06-05 17:34:46,Near Mint (NM or M-),Generic,
34-04165,Michael Jackson,P.Y.T. (Pretty Young Thing),Epic,"7"", Single, Styrene, Car",,1983,9014339,45 Funk/Soul,2020-11-17 07:24:00,Near Mint (NM or M-),Generic,
49 79544,Sade,By Your Side,Epic,"12""",,2001,540444,"12"" R&B",2019-01-02 23:51:10,Near Mint (NM or M-),Very Good Plus (VG+),
5-10805,Sly & The Family Stone,Family Affair,Epic,"7"", Single, Styrene, Pit",,1971,5021542,45 Funk/Soul,2023-02-22 18:52:55,Good Plus (G+),Good Plus (G+),
8-50370,Heatwave,Boogie Nights,Epic,"7"", Promo, DJ ",,1976,2751186,45 Funk/Soul,2020-11-17 06:47:26,Near Mint (NM or M-),Near Mint (NM or M-),
8-50656,The Jacksons,Shake Your Body (Down To The Ground),Epic,"7"", Single, Styrene, Ora",,1979,3901485,45 Funk/Soul,2023-02-23 14:56:28,Near Mint (NM or M-),Good (G),
8-50680,Cheap Trick,I Want You To Want Me ,Epic,"7"", Single, Sty",,1978,5083523,45 70's/80's Rock,2023-02-22 16:09:16,Good (G),Generic,
850054P,Shuggie Otis,Inspiration Information / Aht Uh Mi Hed,Epic,"7"", Single, RE",,2019,13489980,45 Funk/Soul,2023-04-19 19:08:04,Mint (M),Generic,
88875143741,Michael Jackson,Bad,Epic,"LP, Album, RE, RP, Gat",,2016,8496901,80's R&B,2018-08-08 23:30:32,Near Mint (NM or M-),Near Mint (NM or M-),
88985377871,A Tribe Called Quest,We Got It From Here…Thank You 4 Your Service,Epic,"2xLP, Album",,2016,9437902,Hip-Hop,2019-01-04 21:49:23,Near Mint (NM or M-),Near Mint (NM or M-),
9-50797,Michael Jackson,Rock With You,Epic,"7"", Single, Styrene, Pit",,1979,282552,45 Funk/Soul,2023-02-23 15:02:11,Near Mint (NM or M-),,
9-50851,The Clash,Train In Vain (Stand By Me),Epic,"7"", Single, Styrene",,1980,3187902,45 Punk/Emo,2019-10-14 02:59:59,Mint (M),Generic,
FE 35745,Michael Jackson,Off The Wall,Epic,"LP, Album, Pit",,1979,120096,Funk/Soul,2018-08-08 23:14:18,Very Good Plus (VG+),Very Good (VG),
JE 35701,George Duke,Follow The Rainbow,Epic,"LP, Album",,1979,8375462,Funk/Soul,2019-07-08 03:11:48,Very Good Plus (VG+),Good Plus (G+),
P 747285,Shuggie Otis,Inspiration Information,Epic,"LP, Album, RE, 180",,2009,2966962,Funk/Soul,2018-08-08 22:58:48,Near Mint (NM or M-),Near Mint (NM or M-),
PE 33454,Minnie Riperton,Adventures In Paradise,Epic,"LP, Album",,1975,974690,Funk/Soul,2018-08-09 00:04:03,Very Good Plus (VG+),Very Good Plus (VG+),
QE 38112,Michael Jackson,Thriller,Epic,"LP, Album, Pit",,1982,2911293,Funk/Soul,2018-08-08 23:16:30,Very Good Plus (VG+),Very Good Plus (VG+),
"PE 34761, 34761",Heatwave,Too Hot To Handle,"Epic, Epic","LP, Album, San",,1977,616666,Funk/Soul,2018-08-11 01:12:26,,,
88765404101,Incubus (2),Morning View,"Epic, Immortal Records (3), Legacy","2xLP, Album, RSD, Ltd, Num, RE, 180",,2012,4052085,2000s Rock/Alternative,2018-10-11 02:09:21,Near Mint (NM or M-),Near Mint (NM or M-),
88985432351,Sly & The Family Stone,Greatest Hits,"Epic, Legacy, Sony Music","LP, Comp, RE",,2017,11281399,Funk/Soul,2020-03-04 23:34:53,Mint (M),Mint (M),
88985456121,Sade,This Far,"Epic, Sony Music","Box, Comp + LP, Album, RE, RM, 180 + LP, Album, RE",,2020,16026908,80's R&B,2021-08-11 14:37:52,Mint (M),Mint (M),
87352-1,Joyce Manor,Never Hungover Again,Epitaph,"12"", Album",,2014,6939080,Contemporary Emo,2018-08-13 23:41:49,Near Mint (NM or M-),Near Mint (NM or M-),
87483,Joyce Manor,Cody,Epitaph,"LP, Album, Pin",,2016,9171604,Contemporary Emo,2018-08-13 23:40:21,Near Mint (NM or M-),Near Mint (NM or M-),
87622-1,Joyce Manor,Million Dollars To Kill Me,Epitaph,"LP, Album",,2018,12557912,Contemporary Emo,2018-10-08 18:28:45,Mint (M),Mint (M),
87787-1,Joyce Manor,Songs From Northern Torrance,Epitaph,"LP, Comp, Red",,2020,15816296,Contemporary Emo,2021-01-16 18:50:37,Mint (M),Mint (M),
EVR-437,Saves The Day,Through Being Cool,Equal Vision Records,"2xLP, Album, Ltd, RE, RM, Yel",,2019,14375084,2000s Emo,2021-07-28 16:12:41,Mint (M),Mint (M),
EHS-103,Sandro Galileo,Ribelle Di Mare,Eraserhood Sound,"LP, Album",,2021,19982779,Funk/Soul,2022-07-20 16:48:04,Mint (M),Mint (M),
ESGN0007,Freddie Gibbs & Alchemist,Alfredo,"ESGN, ALC Records, Empire","LP, Album",,2020,15999923,Hip-Hop,2021-04-22 14:04:11,Mint (M),Mint (M),
ESP017,The New York Disco Orchestra,Reverie,Espacial Discos,"LP, Album, RE, RM",,2021,16999941,Funk/Soul,2023-01-22 23:42:55,Mint (M),Mint (M),
"710473185219, PSYCH 011",Niagara,Niagara,"Everland, Everland","LP, Album, RE, Gat",,2022,23223776,Latin Jazz,2023-06-17 22:36:37,Mint (M),Mint (M),
EVLP034YE,Bob James,One,Evosound,"LP, Ltd, Num, RM, 180",,2021,19841431,Jazz,2021-09-16 15:40:01,Mint (M),Mint (M),
EXS010,Michael Wycoff,Looking Up To You / Tell Me Love,"Expansion, RCA","7"", RE",,2018,12550267,45 Funk/Soul,2020-11-22 05:44:21,Mint (M),Generic,
"FAC-XXIII-XII, FAC 23-12",Joy Division,Love Will Tear Us Apart,"Factory (2), Factory (2)","12"", Unofficial, Red",,2009,2511680,"12"" New Wave",2019-01-03 00:16:38,Near Mint (NM or M-),Very Good Plus (VG+),
"FACT 75, FACT SEVENTY FIVE, 2564-68880-5",New Order,"Power, Corruption & Lies","Factory, Factory, London Records","LP, Album, RP, 180",,0,12864553,New Wave,2018-12-24 01:10:38,Mint (M),Mint (M),
"FACT 10, R1-465628",Joy Division,Unknown Pleasures,"Factory, Rhino Records (2)","LP, Album, RE, RM, 180",,2015,7173475,80's Rock,2021-03-06 15:04:27,Mint (M),Mint (M),
"9299184310, 9229185218",Clairo (2),Immunity,"Fader Label, Fader Label","LP, Album, Ltd, Bei",,2019,14216051,Indie/Alternative,2019-10-14 03:26:10,Mint (M),Mint (M),
FG-14001,David Batiste & The Gladiators,Funky Soul,Family Groove Records,"7""",,2021,18701704,45 Funk/Soul,2021-07-02 22:03:16,Mint (M),Mint (M),
FG-14001,David Batiste & The Gladiators,Funky Soul,Family Groove Records,"7""",,2021,18701704,45 Funk/Soul,2021-07-02 22:03:29,Mint (M),Mint (M),
SLP 345,Joe Bataan,Subway Joe,Fania Records,"LP, Album, RE",,0,1311028,Latin Funk,2018-08-08 01:52:39,Near Mint (NM or M-),Near Mint (NM or M-),
SLP 354,Joe Bataan,Riot!,Fania Records,"LP, Album, RE",,2007,3021146,Latin Funk,2018-08-08 01:56:34,Near Mint (NM or M-),Near Mint (NM or M-),
F-9682,Vince Guaraldi Trio,Charlie Brown's Holiday Hits,Fantasy,"LP, Album",,2015,7656316,Soundtrack,2018-08-08 02:49:07,Near Mint (NM or M-),Near Mint (NM or M-),
FB5127-1,El Michels Affair,Enter The 37th Chamber,Fat Beats,"LP, Album, RE, Whi",,2021,21017746,Funk/Soul,2021-12-01 16:08:53,Mint (M),Mint (M),
FB5192,Ohbliv,Give Thanks,Fat Beats Records,"LP, Ltd, Whi",,2019,13600976,Instrumental/Beats,2019-05-18 23:43:47,,,
FP1257-1,Yuck,Yuck,Fat Possum Records,"2xLP, Album, RE",,2011,3248712,Indie/Alternative,2021-03-11 18:31:39,Mint (M),Mint (M),
FP1640-1,Soccer Mommy,Collection,Fat Possum Records,"12"", MiniAlbum",,2017,10664815,Indie/Alternative,2018-08-15 01:23:06,Near Mint (NM or M-),Near Mint (NM or M-),
FP1652-1,Soccer Mommy,Clean,Fat Possum Records,"LP, Album, Ltd, Pur",,2018,11401614,Indie/Alternative,2018-08-15 01:36:49,Near Mint (NM or M-),Near Mint (NM or M-),
FPH-1217-1,Ann Peebles,Greatest Hits,Fat Possum Records,"LP, Comp",,2015,7559304,Funk/Soul,2018-08-09 00:12:41,Near Mint (NM or M-),Near Mint (NM or M-),
FPH1135-1,Al Green,Greatest Hits,"Fat Possum Records, Hi Records","LP, Comp, Ltd, RE, 180",,0,2161265,Funk/Soul,2018-08-11 01:14:43,Very Good Plus (VG+),Very Good Plus (VG+),
FD-086,Remember Sports,Sunchokes,Father/Daughter Records,"LP, Album, Dlx, Ltd, RE, RM, Bab",,2019,14440367,Contemporary Emo,2020-01-12 08:06:07,Mint (M),Mint (M),
FVR183LP,Various,Fusion Global Sounds (1970-1983),Favorite Recordings,"LP, Comp, RM",,2022,23695658,Funk/Soul,2022-07-13 17:36:09,Mint (M),Mint (M),
FEEL IT 43,Sweeping Promises,Hunger For A Way Out,Feel It Records,"LP, Album, RP",,2020,16020491,Indie/Alternative,2021-02-04 15:06:37,Mint (M),Mint (M),
R1 523284,The Cure,Disintegration,"Fiction Records, Elektra, Rhino Records (2)","2xLP, Album, RE, RM, Gat",,2010,2323894,80's Rock,2018-10-11 02:22:57,Near Mint (NM or M-),Near Mint (NM or M-),
FIRELP140,ESG,Come Away With ESG,Fire Records,"LP, Album, RE",,2018,12306875,Funk/Soul,2018-09-17 23:14:42,Mint (M),Mint (M),
FIRELP463,The Jazz Butcher,Sex And Travel,Fire Records,"LP, MiniAlbum",,2019,13490771,80's Rock,2019-05-18 23:41:59,,,
AFS-9131,The Kinks,Lola  / You Really Got Me,Flashback Records (4),"7"", Single, RE",,1980,19885627,45 60's Rock,2023-05-24 23:46:05,Very Good Plus (VG+),Generic,
88883 76583 1,Hiatus Kaiyote,Tawk Tomahawk,Flying Buddha,"12"", Album, RE, 180",,2013,4920525,Modern R&B,2018-08-08 04:23:37,Near Mint (NM or M-),Near Mint (NM or M-),
 FOR-LP003,Roberta Vandervort & Sally Townes,Roberta Vandervort & Sally Townes,Forager Records,"LP, Comp",,2022,22292242,Funk/Soul,2022-10-03 22:37:02,Mint (M),Mint (M),
FOR-LP001,Various,Belong To The Wind ,Forager Records,"LP, Comp, RM",,2021,17774911,70's Rock,2021-07-11 21:23:38,Mint (M),Mint (M),
FOR-LP004,Various,Sky Dust Drifter,Forager Records,"LP, Comp",,2022,22543907,70's Rock,2022-03-21 21:56:12,Mint (M),Mint (M),
FOR-LP005,Cleve Francis,Beyond The Willow Tree,Forager Records,"2xLP, Comp, RM",,2022,23738261,60's Rock,2022-09-24 23:02:30,Mint (M),Mint (M),
FOR-LP006,Various,Vacation From My Mind,Forager Records,"LP, Comp",,2022,23681090,Jazz,2022-06-30 20:57:59,Mint (M),Mint (M),
FOR-LP007,Various,Child Of Nature,Forager Records,"LP, Album, Comp",,2023,26493563,70's Rock,2023-06-15 22:52:55,Mint (M),Mint (M),
FL00006LP,Sault,Untitled (Rise),Forever Living Originals,"2xLP, Album",,2020,16141600,Funk/Soul,2021-03-03 21:29:23,Mint (M),Mint (M),
FLO0002,Sault,5,Forever Living Originals,"LP, Album, RP",,2019,14134460,Funk/Soul,2023-01-22 23:07:05,Mint (M),Mint (M),
FKR051-1,The Drums (2),Portamento,"Frenchkiss Records, Island Records","LP, Album",,2011,3250663,Indie/Alternative,2018-12-24 01:13:09,Mint (M),Mint (M),
B0028349-01,Fall Out Boy,Take This To Your Grave ,Fueled By Ramen,"LP, RE",,2018,16307988,2000s Emo,2021-05-27 12:19:24,Near Mint (NM or M-),Near Mint (NM or M-),
DEL LP 0047,Ike Turner's Kings Of Rhythm,A Black Man's Soul,Funky Delicacies,"LP, Album, RE",,2002,655937,Funk/Soul,2021-03-06 14:58:03,Mint (M),Mint (M),
FDR7005,East Flatbush Project,Tried By 12,Funky Dividends Records,"7"", Ltd",,2022,24138080,45 Hip-Hop/Instrumental,2023-05-24 23:04:35,Near Mint (NM or M-),Near Mint (NM or M-),
FDR 624,Various,Loma: Soul Music Love Affair (Volume One: Something's Burning 1964-1968),Future Days Recordings,"LP, Comp, Mono",,2016,8338310,60's R&B,2018-08-11 01:00:52,Mint (M),Mint (M),
GSC 45 24 ,"Lyn Christopher / Ronnie Keaton, Oceanliners",Take Me With You / Going Down For The Last Time,Galaxy Sound Co.,"7"", Unofficial",,2020,15594423,45 Funk/Soul,2021-01-29 17:19:55,Mint (M),,
GSC 45 26,Doris & Kelley  /  Hamilton Bohannon,You Don't Have To Worry / Save Their Souls,Galaxy Sound Co.,"7""",,2020,16320174,45 Funk/Soul,2021-01-29 17:17:55,Mint (M),Mint (M),
GSC 45 27,Quincy Jones / Jack DeJohnette,Summer In The City (Remastered Edit) / Epilog (Remastered Edit),Galaxy Sound Co.,"7"", Promo",,2021,16736616,45 Funk/Soul,2021-02-06 11:03:14,Mint (M),Mint (M),
GSC 45 30,Gil Scott-Heron / Odyssey (9),Not So Easy (To Be Free) / Our Lives,Galaxy Sound Co.,"7"", Ltd, Promo, RM, Unofficial",,2021,20291995,45 Funk/Soul,2023-07-21 22:51:28,Near Mint (NM or M-),Generic,
GSC 45 31,Willie Mitchell / Monk Higgins,Groovin' / Little Green Apples,Galaxy Sound Co.,"7"", Unofficial",,2021,20905360,45 Funk/Soul,2023-07-21 22:48:24,Near Mint (NM or M-),Generic,
G-1581,Jean-Claude Borelly,Dolannes Mélodie,Gamma (4),"7"", Single",,1976,10165176,Spanish,2022-11-08 21:50:20,Very Good Plus (VG+),Very Good Plus (VG+),
G-2468,Yuri (3),El Pequeño Panda De Chapultepec,Gamma (4),"7"", Single",,1981,9109595,Spanish,2022-11-08 21:49:36,Very Good Plus (VG+),Very Good Plus (VG+),
GR-1321,The Kay-Gees,You've Got To Keep On Bumpin',Gang Records,"7"", Single",,1974,8212601,45 Funk/Soul,2023-02-22 22:27:02,Very Good (VG),Generic,
GR-1321,The Kay-Gees,You've Got To Keep On Bumpin',Gang Records,"7"", Single",,1974,8212601,45 Funk/Soul,2023-05-24 23:19:29,Near Mint (NM or M-),,
512P,Willie Tee,Teasing You Again,Gatur Records,"7"", RSD, RE, RM",,2020,15966125,45 Funk/Soul,2021-02-08 16:53:29,Mint (M),Mint (M),
556,The Gaturs,Swivel Your Hips,Gatur Records,"7"", RSD, Single",,2023,26855792,45 Funk/Soul,2023-07-21 22:46:03,Near Mint (NM or M-),Near Mint (NM or M-),
GG-1002,Frankie Lymon & The Teenagers,Why Do Fools Fall In Love / Please Be Mine,Gee,"7"", Single",,1955,20315395,45 60's/70's R&B,2023-06-12 22:22:16,Very Good Plus (VG+),Generic,
GG-1026,Frankie Lymon & The Teenagers,I'm Not A Juvenile Delinquent,Gee,"7"", Single",,1957,4730434,45 60's/70's R&B,2020-11-17 07:39:50,Very Good (VG),Generic,
B0004670-01,Common,Be,Geffen Records,"2xLP, Album",,2005,471196,Hip-Hop,2019-01-04 22:14:11,Near Mint (NM or M-),Near Mint (NM or M-),
B0029962-01,Mary J. Blige,"HERstory, Vol. 1","Geffen Records, UMe","2xLP, Comp",,2019,14523061,90s R&B,2020-01-08 08:22:07,Mint (M),Mint (M),
"B0028591-01, 677 046-1, LPS-809",Dorothy Ashby,Afro-Harping,"Geffen Records, UMe, Cadet","LP, Album, RE",,2018,12285734,Jazz,2018-09-17 23:24:03,Mint (M),Mint (M),
B0023128-01,Jimmy Eat World,Bleed American,"Geffen Records, UMe, Interscope Records","LP, Album, RE, 150",,2016,7943146,2000s Emo,2018-08-15 02:01:28,Near Mint (NM or M-),Near Mint (NM or M-),
GP-002,Larry June,Iced Coffee,General Principle,"7"", Single, Ltd",,2023,26124512,45 Hip-Hop/Instrumental,2023-05-24 23:00:47,Near Mint (NM or M-),Near Mint (NM or M-),
GET 727-7,Camp Lo,Luchini (Aka This Is It),Get On Down,"7"", 25t",,2022,24141482,45 Hip-Hop/Instrumental,2023-05-24 22:49:01,Near Mint (NM or M-),Near Mint (NM or M-),
GET 727-7,Camp Lo,Luchini (Aka This Is It),Get On Down,"7"", 25t",,2022,24141482,45 Hip-Hop/Instrumental,2023-05-24 22:49:17,Near Mint (NM or M-),Near Mint (NM or M-),
GET 784-7,Wu-Tang Clan Featuring Cappadonna,Triumph B/w Heaterz,Get On Down,"7"", Single, S/Edition, Col",,2022,23671292,45 Hip-Hop/Instrumental,2023-05-24 23:06:08,Near Mint (NM or M-),Near Mint (NM or M-),
"GET 51297 LP, 88691975251",Nas,Illmatic,"Get On Down, Columbia","LP, Album, RE",,2012,7986458,Hip-Hop,2019-01-04 22:10:09,Near Mint (NM or M-),Near Mint (NM or M-),
"GET 51317-12, 88985343871",UGK Featuring OutKast,Int'l Players Anthem (I Choose You),"Get On Down, Jive, Sony Music Commercial Music Group","6"", Shape, RSD, Ltd, Pic, Tex",,2016,9410736,45 Hip-Hop/Instrumental,2018-12-21 20:59:25,Mint (M),Mint (M),
GET 12009-12 ,Barrabas,Wild Safari / Woman ,"Get On Down, RCA, RCA Victor","12"", RE",,2017,10545950,Spanish,2019-06-15 19:53:28,Mint (M),Mint (M),
"GI-308, DIFU325, GMR003",Klo (5),Backwater,"Ghostly International, Different Recordings, Good Manners Records","2xLP, Album, Ltd, Gre",,2017,11123084,Electronic,2018-08-13 22:30:19,Near Mint (NM or M-),Near Mint (NM or M-),
